,day,day_range,total_count,weather,day_of_week,celebration,season,month,day_of_year,count_discretized
88,2015-06-06,1200,74,Sunny,7,False,Spring,6,6,1.0
89,2015-03-30,1200,345,Partly cloudy,2,False,Spring,3,30,2.0
90,2015-01-29,600,91,Cloudy,5,False,Winter,1,29,1.0
91,2015-08-12,0,7,Clear,4,False,Summer,8,12,0.0
92,2015-08-03,1800,54,Sunny,2,False,Summer,8,3,1.0
93,2015-06-08,1800,150,Sunny,2,False,Spring,6,8,2.0
94,2015-05-05,1200,371,Partly cloudy,3,False,Spring,5,5,2.0
95,2015-04-14,1200,339,Sunny,3,False,Spring,4,14,2.0
96,2015-01-19,1800,146,Cloudy,2,False,Winter,1,19,2.0
97,2015-01-07,1200,126,Sunny,4,False,Winter,1,7,1.0
98,2015-12-09,600,319,Clear,4,False,Autumn,12,9,2.0
99,2015-11-21,0,24,Partly cloudy,7,False,Autumn,11,21,0.0
100,2015-10-10,0,33,Cloudy,7,False,Autumn,10,10,0.0
101,2015-05-27,1800,154,Sunny,4,False,Spring,5,27,2.0
102,2015-01-21,0,3,Light drizzle,4,False,Winter,1,21,0.0
103,2015-01-16,0,6,Cloudy,6,False,Winter,1,16,0.0
104,2015-10-13,1200,288,Moderate or heavy rain shower,3,False,Autumn,10,13,2.0
105,2015-10-09,1800,103,Partly cloudy,6,False,Autumn,10,9,1.0
106,2015-07-31,0,10,Clear,6,False,Summer,7,31,0.0
107,2015-05-31,600,26,Clear,1,False,Spring,5,31,0.0
108,2015-03-24,1800,167,Patchy rain possible,3,False,Spring,3,24,2.0
109,2015-03-16,1200,248,Moderate rain,2,False,Winter,3,16,2.0
110,2015-01-29,1200,56,Light drizzle,5,False,Winter,1,29,1.0
111,2015-12-05,1800,67,Sunny,7,False,Autumn,12,5,1.0
112,2015-11-23,1200,233,Light drizzle,2,False,Autumn,11,23,2.0
113,2015-09-01,1800,110,Sunny,3,False,Summer,9,1,1.0
114,2015-08-24,1200,48,Patchy rain possible,2,False,Summer,8,24,1.0
115,2015-07-02,1800,181,Sunny,5,False,Summer,7,2,2.0
116,2015-06-08,600,300,Clear,2,False,Spring,6,8,2.0
117,2015-04-27,600,218,Light rain shower,2,False,Spring,4,27,2.0
