day,day_range,weather
20/02/2015,1800,Sunny
21/02/2015,0,Overcast
21/02/2015,600,Cloudy
21/02/2015,1200,Light rain
21/02/2015,1800,Light rain
22/02/2015,0,Moderate or heavy rain with thunder
22/02/2015,600,Moderate or heavy rain with thunder
22/02/2015,1200,Partly cloudy
22/02/2015,1800,Partly cloudy
23/02/2015,0,Clear
23/02/2015,600,Clear
23/02/2015,1200,Sunny
23/02/2015,1800,Cloudy
24/02/2015,0,Partly cloudy
24/02/2015,600,Light drizzle
24/02/2015,1200,Light drizzle
24/02/2015,1800,Light rain
25/02/2015,0,Patchy rain possible
25/02/2015,600,Partly cloudy
25/02/2015,1200,Patchy light drizzle
25/02/2015,1800,Cloudy
26/02/2015,0,Partly cloudy
26/02/2015,600,Partly cloudy
26/02/2015,1200,Partly cloudy
26/02/2015,1800,Sunny
27/02/2015,0,Patchy light drizzle
27/02/2015,600,Clear
27/02/2015,1200,Sunny
27/02/2015,1800,Sunny
28/02/2015,0,Partly cloudy
28/02/2015,600,Partly cloudy
28/02/2015,1200,Partly cloudy
28/02/2015,1800,Sunny
01/03/2015,0,Clear
01/03/2015,600,Clear
01/03/2015,1200,Light rain shower
01/03/2015,1800,Light drizzle
02/03/2015,0,Light drizzle
02/03/2015,600,Patchy rain possible
02/03/2015,1200,Light rain
02/03/2015,1800,Cloudy
03/03/2015,0,Clear
03/03/2015,600,Clear
03/03/2015,1200,Sunny
03/03/2015,1800,Sunny
04/03/2015,0,Clear
04/03/2015,600,Cloudy
04/03/2015,1200,Light rain shower
04/03/2015,1800,Moderate rain
05/03/2015,0,Moderate rain
05/03/2015,600,Patchy rain possible
05/03/2015,1200,Partly cloudy
05/03/2015,1800,Partly cloudy
06/03/2015,0,Clear
06/03/2015,600,Clear
06/03/2015,1200,Sunny
06/03/2015,1800,Sunny
07/03/2015,0,Clear
07/03/2015,600,Clear
07/03/2015,1200,Sunny
07/03/2015,1800,Sunny
08/03/2015,0,Clear
08/03/2015,600,Clear
08/03/2015,1200,Sunny
08/03/2015,1800,Sunny
09/03/2015,0,Clear
09/03/2015,600,Clear
09/03/2015,1200,Sunny
09/03/2015,1800,Sunny
10/03/2015,0,Clear
10/03/2015,600,Clear
10/03/2015,1200,Sunny
10/03/2015,1800,Sunny
11/03/2015,0,Clear
11/03/2015,600,Cloudy
11/03/2015,1200,Sunny
11/03/2015,1800,Sunny
12/03/2015,0,Clear
12/03/2015,600,Clear
12/03/2015,1200,Sunny
12/03/2015,1800,Sunny
13/03/2015,0,Clear
13/03/2015,600,Clear
13/03/2015,1200,Sunny
13/03/2015,1800,Sunny
14/03/2015,0,Clear
14/03/2015,600,Light rain shower
14/03/2015,1200,Overcast
14/03/2015,1800,Patchy rain possible
15/03/2015,0,Patchy rain possible
15/03/2015,600,Overcast
15/03/2015,1200,Light rain
15/03/2015,1800,Light rain
16/03/2015,0,Patchy rain possible
16/03/2015,600,Light rain
16/03/2015,1200,Moderate rain
16/03/2015,1800,Patchy light drizzle
17/03/2015,0,Light rain
17/03/2015,600,Light rain
17/03/2015,1200,Patchy light drizzle
17/03/2015,1800,Sunny
18/03/2015,0,Clear
18/03/2015,600,Clear
18/03/2015,1200,Sunny
18/03/2015,1800,Sunny
19/03/2015,0,Clear
19/03/2015,600,Clear
19/03/2015,1200,Sunny
19/03/2015,1800,Sunny
20/03/2015,0,Clear
20/03/2015,600,Clear
20/03/2015,1200,Sunny
20/03/2015,1800,Sunny
21/03/2015,0,Clear
21/03/2015,600,Clear
21/03/2015,1200,Partly cloudy
21/03/2015,1800,Light drizzle
22/03/2015,0,Patchy rain possible
22/03/2015,600,Cloudy
22/03/2015,1200,Partly cloudy
22/03/2015,1800,Sunny
23/03/2015,0,Partly cloudy
23/03/2015,600,Partly cloudy
23/03/2015,1200,Sunny
23/03/2015,1800,Partly cloudy
24/03/2015,0,Cloudy
24/03/2015,600,Patchy rain possible
24/03/2015,1200,Light rain shower
24/03/2015,1800,Patchy rain possible
25/03/2015,0,Patchy rain possible
25/03/2015,600,Patchy rain possible
25/03/2015,1200,Light rain
25/03/2015,1800,Light rain
26/03/2015,0,Moderate rain
26/03/2015,600,Light rain
26/03/2015,1200,Light rain
26/03/2015,1800,Partly cloudy
27/03/2015,0,Partly cloudy
27/03/2015,600,Partly cloudy
27/03/2015,1200,Moderate or heavy rain shower
27/03/2015,1800,Sunny
28/03/2015,0,Clear
28/03/2015,600,Clear
28/03/2015,1200,Sunny
28/03/2015,1800,Sunny
29/03/2015,0,Partly cloudy
29/03/2015,600,Clear
29/03/2015,1200,Sunny
29/03/2015,1800,Sunny
30/03/2015,0,Clear
30/03/2015,600,Cloudy
30/03/2015,1200,Partly cloudy
30/03/2015,1800,Sunny
31/03/2015,0,Clear
31/03/2015,600,Clear
31/03/2015,1200,Sunny
31/03/2015,1800,Partly cloudy
01/04/2015,0,Clear
01/04/2015,600,Clear
01/04/2015,1200,Sunny
01/04/2015,1800,Sunny
02/04/2015,0,Clear
02/04/2015,600,Clear
02/04/2015,1200,Sunny
02/04/2015,1800,Sunny
03/04/2015,0,Clear
03/04/2015,600,Clear
03/04/2015,1200,Sunny
03/04/2015,1800,Partly cloudy
04/04/2015,0,Cloudy
04/04/2015,600,Light rain shower
04/04/2015,1200,Light rain shower
04/04/2015,1800,Light rain shower
05/04/2015,0,Partly cloudy
05/04/2015,600,Partly cloudy
05/04/2015,1200,Partly cloudy
05/04/2015,1800,Sunny
06/04/2015,0,Clear
06/04/2015,600,Clear
06/04/2015,1200,Partly cloudy
06/04/2015,1800,Partly cloudy
07/04/2015,0,Partly cloudy
07/04/2015,600,Clear
07/04/2015,1200,Sunny
07/04/2015,1800,Sunny
08/04/2015,0,Clear
08/04/2015,600,Clear
08/04/2015,1200,Sunny
08/04/2015,1800,Sunny
09/04/2015,0,Clear
09/04/2015,600,Clear
09/04/2015,1200,Sunny
09/04/2015,1800,Sunny
10/04/2015,0,Clear
10/04/2015,600,Clear
10/04/2015,1200,Sunny
10/04/2015,1800,Overcast
11/04/2015,0,Partly cloudy
11/04/2015,600,Partly cloudy
11/04/2015,1200,Partly cloudy
11/04/2015,1800,Sunny
12/04/2015,0,Clear
12/04/2015,600,Clear
12/04/2015,1200,Sunny
12/04/2015,1800,Sunny
13/04/2015,0,Clear
13/04/2015,600,Clear
13/04/2015,1200,Sunny
13/04/2015,1800,Sunny
14/04/2015,0,Clear
14/04/2015,600,Clear
14/04/2015,1200,Sunny
14/04/2015,1800,Sunny
15/04/2015,0,Clear
15/04/2015,600,Clear
15/04/2015,1200,Sunny
15/04/2015,1800,Sunny
16/04/2015,0,Clear
16/04/2015,600,Overcast
16/04/2015,1200,Overcast
16/04/2015,1800,Sunny
17/04/2015,0,Light rain
17/04/2015,600,Partly cloudy
17/04/2015,1200,Light rain shower
17/04/2015,1800,Patchy rain possible
